time,open,high,low,close,tick_volume,spread,real_volume,atr,label,label_name
2025-08-18,44968.2,45034.6,44817.6,44908.1,98341,70,0,,0,NEUTRAL
2025-08-19,44910.1,45210.6,44760.9,44947.6,108370,20,0,,0,NEUTRAL
2025-08-20,44966.6,45048.4,44756.4,44934.9,149528,20,0,,0,NEUTRAL
2025-08-21,44931.8,44951.8,44568.2,44807.5,141825,0,0,,0,NEUTRAL
2025-08-22,44824.3,45767.6,44672.8,45644.9,139342,0,0,,0,NEUTRAL
2025-08-25,45662.0,45668.0,45266.5,45321.0,91356,20,0,,0,NEUTRAL
2025-08-26,45323.6,45457.3,45110.1,45457.3,119463,0,0,,0,NEUTRAL
2025-08-27,45446.9,45627.1,45379.9,45579.6,90332,20,0,,0,NEUTRAL
2025-08-28,45569.2,45735.7,45436.4,45598.4,120522,0,0,,0,NEUTRAL
2025-08-29,45560.9,45610.0,45358.9,45570.0,118379,70,0,,0,NEUTRAL
2025-09-01,45605.2,45690.9,45470.1,45578.1,44959,0,0,,0,NEUTRAL
2025-09-02,45549.3,45580.3,44935.1,45254.1,173219,70,0,,0,NEUTRAL
2025-09-03,45259.6,45317.3,44975.6,45214.6,142802,70,0,,0,NEUTRAL
2025-09-04,45161.0,45644.2,45155.5,45626.7,111637,70,0,405.7000000000002,0,NEUTRAL
2025-09-05,45606.8,45773.7,45198.9,45415.5,157653,0,0,431.25714285714275,1,UP
2025-09-08,45418.8,45545.9,45276.4,45537.9,117002,70,0,418.3857142857144,0,NEUTRAL
2025-09-09,45550.5,45766.5,45430.8,45660.0,115059,70,0,421.50714285714275,0,NEUTRAL
2025-09-10,45638.4,45798.4,45377.1,45485.6,130771,20,0,424.1999999999997,1,UP
2025-09-11,45482.2,46138.5,45476.2,46106.5,123018,70,0,393.30714285714305,2,RISK
2025-09-12,46117.7,46141.7,45812.7,45836.7,95585,20,0,388.12857142857166,0,NEUTRAL
2025-09-15,45835.5,45978.4,45767.4,45856.4,114110,0,0,378.3999999999999,1,UP
2025-09-16,45856.6,45964.4,45656.9,45788.7,110729,20,0,382.70714285714297,1,UP
2025-09-17,45796.5,46279.9,45681.9,46035.4,138079,0,0,404.04285714285754,1,UP
2025-09-18,46031.7,46366.5,45943.7,46196.7,135245,70,0,416.30714285714356,0,NEUTRAL
2025-09-19,46209.5,46389.7,46048.5,46272.2,128339,70,0,424.9071428571432,2,RISK
2025-09-22,46271.6,46445.8,46024.4,46367.3,101213,0,0,408.9214285714287,2,RISK
2025-09-23,46369.8,46725.0,46216.5,46320.5,123314,0,0,420.83571428571406,2,RISK
2025-09-24,46323.4,46460.3,46091.2,46161.7,116234,0,0,412.29285714285754,0,NEUTRAL
2025-09-25,46160.1,46220.1,45783.8,45962.1,151696,0,0,402.40000000000043,1,UP
2025-09-26,45962.5,46361.6,45926.9,46248.8,150699,0,0,414.2000000000002,1,UP
2025-09-29,46285.3,46484.4,46140.9,46287.7,116609,70,0,414.75714285714326,1,UP
2025-09-30,46298.7,46426.6,46095.0,46308.6,141556,70,0,408.3500000000001,1,UP
2025-10-01,46332.0,46538.2,46050.5,46414.0,133290,70,0,395.8785714285711,1,UP
2025-10-02,46431.6,46596.7,46270.3,46529.2,117446,70,0,395.69285714285644,0,NEUTRAL
2025-10-03,46529.7,47063.3,46497.8,46769.6,121341,20,0,421.014285714285,2,RISK
2025-10-06,46831.6,46889.3,46423.1,46696.8,113931,20,0,432.34999999999957,2,RISK
2025-10-07,46698.9,46875.9,46440.4,46625.0,130249,0,0,420.74285714285674,2,RISK
2025-10-08,46631.0,46833.3,46505.3,46620.0,103151,70,0,413.97142857142796,2,RISK
2025-10-09,46624.0,46687.9,46262.1,46367.3,125442,70,0,420.0142857142855,2,RISK
2025-10-10,46371.9,46643.8,45154.6,45234.1,202990,70,0,496.2857142857143,1,UP
2025-10-13,45873.6,46166.6,45746.1,46072.6,189262,70,0,526.5714285714286,2,RISK
2025-10-14,46112.5,46529.7,45450.7,46261.2,235270,0,0,577.278571428571,2,RISK
2025-10-15,46282.7,46705.9,46026.4,46262.7,188971,0,0,594.6499999999999,2,RISK
2025-10-16,46330.2,46489.7,45776.0,45911.0,225687,20,0,614.5785714285713,1,UP
2025-10-17,45929.0,46322.1,45409.8,46234.6,257781,0,0,655.2071428571425,1,UP
2025-10-20,46301.2,46762.0,46118.9,46759.0,137257,70,0,677.4571428571425,0,NEUTRAL
2025-10-21,46758.6,47139.8,46618.1,46958.8,140608,70,0,679.8857142857144,0,NEUTRAL
2025-10-22,46927.8,47006.1,46450.4,46527.3,182398,70,0,696.2642857142861,1,UP
2025-10-23,46513.9,46805.6,46414.4,46695.1,152343,70,0,683.8142857142858,1,UP
2025-10-24,46722.7,47327.6,46708.2,47201.1,121031,70,0,695.692857142857,0,NEUTRAL
2025-10-27,47579.6,47591.5,47369.0,47571.0,101231,70,0,692.4714285714284,0,NEUTRAL
2025-10-28,47568.7,47942.5,47512.7,47705.5,125584,70,0,699.7428571428572,2,RISK
2025-10-29,47709.7,48043.0,47445.5,47589.0,149842,70,0,712.0071428571428,0,NEUTRAL
2025-10-30,47597.3,48023.8,47393.1,47578.8,228189,20,0,650.6857142857142,2,RISK
2025-10-31,47600.6,47717.1,47342.6,47587.1,163986,0,0,610.8285714285713,2,RISK
2025-11-03,47610.4,47732.8,47128.6,47317.1,141959,70,0,576.9142857142859,2,RISK
2025-11-04,47317.2,47332.7,46846.2,47165.9,198703,70,0,563.1285714285716,2,RISK
2025-11-05,47196.5,47462.9,46947.0,47346.4,202343,20,0,549.0000000000006,2,RISK
2025-11-06,47335.3,47385.2,46782.7,46988.9,202833,0,0,526.8714285714294,1,UP
2025-11-07,46993.1,47064.8,46491.3,47062.3,235680,70,0,521.9000000000009,1,UP
2025-11-10,47205.5,47412.3,46939.8,47361.8,143368,0,0,518.3857142857149,1,UP
2025-11-11,47379.6,47978.3,47319.1,47942.8,144771,0,0,525.7785714285726,2,RISK
2025-11-12,47935.5,48424.8,47915.5,48279.1,146991,70,0,534.2142857142873,2,RISK
2025-11-13,48290.0,48401.5,47399.7,47497.8,224621,20,0,560.5928571428589,2,RISK
2025-11-14,47501.5,47552.9,46849.6,47186.7,257868,70,0,582.942857142859,2,RISK
2025-11-17,47130.2,47291.5,46427.3,46624.8,229044,0,0,613.97142857143,2,RISK
2025-11-18,46622.0,46674.5,45907.7,46038.5,305476,0,0,626.0642857142874,1,UP
2025-11-19,46083.7,46304.0,45900.5,46150.5,276162,70,0,609.8357142857157,1,UP
2025-11-20,46183.5,46862.8,45713.3,45757.8,276645,70,0,665.1928571428585,1,UP
2025-11-21,45815.2,46582.0,45708.3,46295.0,334056,20,0,684.442857142858,1,UP
2025-11-24,46475.4,46588.4,46099.9,46457.7,203871,0,0,684.5857142857151,1,UP
2025-11-25,46458.3,47181.5,46328.8,47126.5,184519,0,0,708.6428571428577,0,NEUTRAL
2025-11-26,47114.2,47573.6,47111.2,47446.4,142289,0,0,698.6357142857149,0,NEUTRAL
2025-11-27,47449.8,47482.3,47381.7,47416.4,31724,70,0,664.8571428571439,0,NEUTRAL
2025-11-28,47440.3,47753.2,47433.8,47696.7,40259,70,0,655.1642857142864,0,NEUTRAL
